Generation,Best,Average,Worst
1,3.05,-1.6747999999999996,-5.9
2,5.050000000000001,0.1428,-4.4
3,6.499999999999999,2.1930000000000005,-3.049999999999997
4,6.899999999999999,3.6610000000000005,-0.4000000000000008
5,8.05,4.588,-1.5000000000000009
6,8.9,5.563400000000001,-0.30000000000000016
7,9.949999999999998,6.8088,2.7500000000000018
8,10.249999999999996,7.959599999999999,3.4000000000000017
9,10.249999999999996,8.6802,5.399999999999998
10,10.749999999999998,9.084999999999997,5.8
11,10.749999999999998,9.408399999999999,6.549999999999999
12,11.449999999999996,9.630199999999999,7.1499999999999995
13,11.449999999999996,9.856999999999998,5.949999999999999
14,11.449999999999996,10.247399999999997,7.049999999999999
15,11.449999999999996,10.485199999999997,7.55
16,11.549999999999994,10.816199999999997,7.749999999999998
17,11.949999999999994,11.067199999999996,8.65
18,12.199999999999996,11.170599999999997,8.75
19,12.199999999999996,11.266599999999997,7.1499999999999995
20,12.199999999999996,11.328999999999997,8.55
21,12.199999999999996,11.391999999999996,7.749999999999999
22,12.699999999999994,11.467399999999996,5.349999999999998
23,12.699999999999994,11.659199999999995,9.2
24,12.699999999999994,11.784599999999996,8.799999999999999
25,13.199999999999992,11.980799999999995,9.299999999999999
26,13.199999999999992,12.168399999999997,10.349999999999998
27,13.199999999999992,12.274599999999994,9.499999999999996
28,13.199999999999992,12.401399999999994,9.95
29,13.199999999999992,12.459399999999993,10.499999999999996
30,13.199999999999992,12.539599999999995,9.899999999999999
31,13.199999999999992,12.641599999999995,9.899999999999997
32,13.199999999999992,12.714799999999993,9.299999999999999
33,13.199999999999992,12.860399999999995,11.199999999999996
34,13.599999999999993,12.872399999999992,9.499999999999996
35,13.599999999999993,12.969999999999994,9.0
36,13.599999999999993,13.023999999999992,9.599999999999998
37,13.599999999999993,13.027999999999993,10.299999999999995
38,13.599999999999993,13.072799999999992,10.199999999999998
39,13.599999999999993,13.13119999999999,11.399999999999991
40,13.599999999999993,13.156999999999993,10.999999999999996
41,13.599999999999993,13.176799999999991,10.999999999999996
42,13.599999999999993,13.188799999999992,8.799999999999999
43,13.599999999999993,13.267399999999993,11.599999999999998
44,13.599999999999993,13.282999999999992,11.099999999999994
45,13.599999999999993,13.342799999999992,12.799999999999995
46,13.599999999999993,13.377999999999993,11.099999999999993
47,13.599999999999993,13.425999999999993,11.699999999999996
48,13.599999999999993,13.435599999999994,11.799999999999995
49,13.599999999999993,13.471199999999993,11.499999999999993
50,13.599999999999993,13.50319999999999,12.699999999999994
51,13.599999999999993,13.540399999999993,11.899999999999993
52,13.599999999999993,13.548799999999993,11.999999999999995
53,13.599999999999993,13.567999999999993,13.199999999999992
54,13.599999999999993,13.566399999999993,13.199999999999992
55,13.599999999999993,13.569599999999992,11.799999999999994
56,13.599999999999993,13.596399999999992,13.099999999999994
57,13.599999999999993,13.591599999999993,12.399999999999995
58,13.599999999999993,13.586999999999993,11.949999999999996
59,13.599999999999993,13.598399999999993,13.199999999999992
60,13.599999999999993,13.589599999999994,11.799999999999994
61,13.599999999999993,13.596799999999991,12.799999999999995
62,13.599999999999993,13.596799999999991,12.799999999999995
63,13.599999999999993,13.596799999999991,12.799999999999995
64,13.599999999999993,13.596799999999991,12.799999999999995
65,13.599999999999993,13.599999999999993,13.599999999999993
66,13.599999999999993,13.599999999999993,13.599999999999993
67,13.599999999999993,13.599999999999993,13.599999999999993
68,13.599999999999993,13.599999999999993,13.599999999999993
69,13.599999999999993,13.599999999999993,13.599999999999993
70,13.599999999999993,13.599999999999993,13.599999999999993
71,13.599999999999993,13.595199999999993,12.399999999999997
72,13.599999999999993,13.599999999999993,13.599999999999993
73,13.599999999999993,13.599999999999993,13.599999999999993
74,13.599999999999993,13.599999999999993,13.599999999999993
75,13.599999999999993,13.599999999999993,13.599999999999993
76,13.599999999999993,13.599999999999993,13.599999999999993
77,13.599999999999993,13.599999999999993,13.599999999999993
78,13.599999999999993,13.599999999999993,13.599999999999993
79,13.599999999999993,13.599999999999993,13.599999999999993
80,13.599999999999993,13.599999999999993,13.599999999999993
81,13.599999999999993,13.599999999999993,13.599999999999993
82,13.599999999999993,13.599999999999993,13.599999999999993
83,13.599999999999993,13.599999999999993,13.599999999999993
84,13.599999999999993,13.599999999999993,13.599999999999993
85,13.599999999999993,13.599999999999993,13.599999999999993
86,13.599999999999993,13.599999999999993,13.599999999999993
87,13.599999999999993,13.599999999999993,13.599999999999993
88,13.599999999999993,13.599999999999993,13.599999999999993
89,13.599999999999993,13.599999999999993,13.599999999999993
90,13.599999999999993,13.599999999999993,13.599999999999993
91,13.599999999999993,13.599999999999993,13.599999999999993
92,13.599999999999993,13.599999999999993,13.599999999999993
93,13.599999999999993,13.599999999999993,13.599999999999993
94,13.599999999999993,13.599999999999993,13.599999999999993
95,13.599999999999993,13.599999999999993,13.599999999999993
96,13.599999999999993,13.599999999999993,13.599999999999993
97,13.599999999999993,13.599999999999993,13.599999999999993
98,13.599999999999993,13.599999999999993,13.599999999999993
99,13.599999999999993,13.599999999999993,13.599999999999993
100,13.599999999999993,13.599999999999993,13.599999999999993
